iter	RMSE
0	3.561728388
1	3.158093431
2	2.825543094
3	2.575993661
4	2.380806684
5	2.242813303
6	2.132697721
7	2.058884722
8	1.99763853
9	1.960079775
10	1.925123225
11	1.910029278
12	1.886813807
13	1.873499799
14	1.859332638
15	1.845647203
16	1.837986469
17	1.829921566
18	1.822716711
19	1.815577077
20	1.809437858
21	1.803716274
22	1.794170548
23	1.78821876
24	1.782592468
25	1.77914963
26	1.777171999
27	1.773261191
28	1.766080308
29	1.762464941
30	1.759505499
31	1.755661971
32	1.752020416
33	1.749153272
34	1.746091999
35	1.743899573
36	1.740191033
37	1.737595644
38	1.736050165
39	1.734249121
40	1.731104158
41	1.7275327
42	1.720982634
43	1.716254608
44	1.712072372
45	1.710524893
46	1.708542206
47	1.706318167
48	1.704424468
49	1.701489759
50	1.697147792
51	1.69510831
52	1.693289406
53	1.689291997
54	1.684751568
55	1.681212395
56	1.678720011
57	1.67655196
58	1.673072666
59	1.670924552
60	1.668847015
61	1.665645862
62	1.662792919
63	1.659888263
64	1.657387673
65	1.655295195
66	1.653347179
67	1.651096109
68	1.647628828
69	1.644439099
70	1.640983403
71	1.637808792
72	1.634115468
73	1.631488755
74	1.629217744
75	1.626889268
76	1.624795471
77	1.622272976
78	1.619890098
79	1.617675995
80	1.615644912
81	1.613482559
82	1.611349508
83	1.60759397
84	1.605778042
85	1.603402002
86	1.601971976
87	1.600544954
88	1.598203011
89	1.595981059
90	1.594436835
91	1.592961918
92	1.590743674
93	1.588372924
94	1.585812964
95	1.583337888
96	1.582231866
97	1.580258534
98	1.577352401
99	1.576163783
100	1.574586472
101	1.569973937
102	1.566301559
103	1.564586146
104	1.56251548
105	1.559009692
106	1.557131792
107	1.554656947
108	1.553010819
109	1.549917112
110	1.548191668
111	1.546194081
112	1.544344264
113	1.543287852
114	1.540981948
115	1.538772662
116	1.536469347
117	1.534187414
118	1.532653805
119	1.531068007
120	1.529505459
121	1.527794375
122	1.525847452
123	1.523682453
124	1.522134768
125	1.520280868
126	1.518087593
127	1.515815869
128	1.514196864
129	1.512688602
130	1.511115689
131	1.509035104
132	1.507625899
133	1.505919967
134	1.503772162
135	1.502259025
136	1.501046426
137	1.499201426
138	1.49790759
139	1.496756325
140	1.494328378
141	1.493018662
142	1.490756621
143	1.489142868
144	1.486345356
145	1.48353723
146	1.482155575
147	1.480616564
148	1.479388428
149	1.477980624
150	1.476273802
151	1.475418484
152	1.474250294
153	1.473190146
154	1.471133718
155	1.468940248
156	1.468122389
157	1.467098099
158	1.465539746
