iter	Passed	Remaining
0	153	129628
1	162	68703
2	172	48695
3	183	38746
4	194	32764
5	204	28739
6	213	25692
7	220	23166
8	228	21324
9	236	19783
10	242	18478
11	245	17103
12	251	16181
13	257	15354
14	263	14619
15	269	13989
16	274	13418
17	279	12891
18	285	12443
19	290	12016
20	295	11643
21	300	11291
22	306	10978
23	311	10681
24	316	10428
25	321	10179
26	326	9936
27	331	9721
28	337	9520
29	342	9329
30	347	9152
31	352	8983
32	357	8822
33	362	8671
34	366	8523
35	372	8395
36	377	8268
37	382	8153
38	387	8041
39	391	7917
40	397	7816
41	402	7727
42	407	7636
43	412	7545
44	418	7464
45	423	7380
46	427	7282
47	432	7210
48	437	7137
49	442	7065
50	448	7002
51	452	6933
52	458	6870
53	463	6809
54	468	6749
55	473	6690
56	477	6632
57	483	6579
58	488	6534
59	494	6495
60	499	6440
61	504	6399
62	510	6355
63	515	6313
64	521	6276
65	526	6237
66	532	6202
67	537	6165
68	543	6133
69	548	6098
70	554	6068
71	560	6042
72	566	6012
73	571	5977
74	577	5949
75	582	5913
76	587	5880
77	592	5845
78	597	5815
79	602	5784
80	607	5752
81	613	5729
82	618	5699
83	623	5668
84	628	5639
85	633	5610
86	638	5582
87	643	5556
88	648	5529
89	653	5503
90	658	5479
91	663	5454
92	668	5429
93	674	5407
94	679	5384
95	685	5368
96	690	5349
97	697	5336
98	703	5323
99	710	5313
100	717	5306
101	724	5300
102	732	5301
103	741	5306
104	750	5311
105	759	5317
106	768	5324
107	778	5333
108	789	5351
109	799	5360
110	808	5369
111	818	5377
112	827	5381
113	837	5390
114	846	5396
115	854	5392
116	862	5391
117	870	5385
118	876	5371
119	883	5356
120	889	5341
121	894	5323
122	899	5303
123	905	5285
124	910	5267
125	915	5248
126	921	5231
127	927	5214
128	932	5195
129	937	5180
130	943	5166
131	949	5150
132	955	5135
133	960	5119
134	966	5103
135	971	5086
136	976	5069
137	982	5055
138	988	5040
139	993	5023
140	999	5010
141	1004	4994
142	1009	4978
143	1015	4963
144	1020	4947
145	1025	4931
146	1031	4917
147	1036	4903
148	1042	4890
149	1047	4875
150	1053	4862
151	1059	4850
152	1065	4837
153	1070	4824
154	1076	4812
155	1081	4798
156	1087	4784
157	1092	4769
158	1097	4755
159	1102	4741
160	1108	4728
161	1113	4715
162	1119	4704
163	1125	4693
164	1133	4691
165	1139	4680
166	1144	4667
167	1150	4657
168	1156	4646
169	1162	4634
170	1167	4623
171	1173	4611
172	1178	4598
173	1184	4586
174	1189	4575
175	1195	4564
176	1200	4552
177	1205	4539
178	1211	4526
179	1216	4515
180	1222	4504
181	1227	4493
182	1233	4481
183	1238	4469
184	1243	4457
185	1249	4446
186	1254	4434
187	1259	4422
188	1265	4411
189	1270	4401
190	1276	4389
191	1281	4377
192	1286	4366
193	1292	4356
194	1297	4345
195	1303	4334
196	1308	4323
197	1314	4313
198	1319	4302
199	1324	4292
200	1330	4283
201	1335	4271
202	1340	4260
203	1346	4249
204	1351	4239
205	1357	4229
206	1362	4219
207	1367	4208
208	1373	4197
209	1378	4186
210	1383	4176
211	1388	4165
212	1394	4156
213	1399	4146
214	1405	4137
215	1411	4128
216	1416	4120
217	1421	4109
218	1427	4100
219	1433	4091
220	1438	4081
221	1444	4072
222	1450	4064
223	1456	4056
224	1462	4048
225	1468	4040
226	1473	4029
227	1478	4019
228	1483	4010
229	1488	4000
230	1494	3991
231	1499	3981
232	1504	3972
233	1510	3963
234	1516	3955
235	1521	3945
236	1526	3935
237	1532	3926
238	1537	3917
239	1542	3907
240	1548	3898
241	1552	3888
242	1558	3879
243	1563	3869
244	1568	3860
245	1573	3851
246	1579	3843
247	1584	3833
248	1589	3824
249	1595	3816
250	1601	3808
251	1606	3799
252	1611	3790
253	1617	3782
254	1622	3774
255	1628	3765
256	1634	3757
257	1639	3749
258	1645	3740
259	1650	3733
260	1656	3725
261	1662	3717
262	1667	3709
263	1673	3702
264	1679	3694
265	1684	3685
266	1690	3677
267	1695	3669
268	1700	3659
269	1705	3651
270	1710	3642
271	1715	3633
272	1721	3624
273	1726	3616
274	1731	3607
275	1736	3599
276	1741	3590
277	1746	3581
278	1752	3573
279	1756	3563
280	1762	3555
281	1767	3546
282	1772	3538
283	1777	3530
284	1783	3522
285	1788	3513
286	1793	3505
287	1798	3497
288	1803	3488
289	1809	3480
290	1814	3472
291	1819	3464
292	1824	3455
293	1829	3448
294	1835	3440
295	1841	3434
296	1847	3427
297	1852	3419
298	1857	3411
299	1863	3404
300	1869	3397
301	1876	3392
302	1883	3387
303	1889	3380
304	1894	3372
305	1899	3364
306	1904	3356
307	1909	3348
308	1915	3340
309	1920	3332
310	1925	3325
311	1931	3317
312	1936	3310
313	1942	3304
314	1949	3298
315	1955	3292
316	1962	3286
317	1967	3279
318	1974	3274
319	1981	3269
320	1987	3263
321	1993	3256
322	1999	3249
323	2005	3243
324	2011	3237
325	2018	3231
326	2024	3226
327	2031	3220
328	2038	3215
329	2044	3208
330	2050	3202
331	2056	3196
332	2062	3189
333	2068	3183
334	2074	3176
335	2080	3170
336	2086	3163
337	2092	3156
338	2097	3149
339	2103	3142
340	2108	3134
341	2114	3127
342	2119	3121
343	2125	3114
344	2130	3106
345	2136	3099
346	2142	3093
347	2147	3085
348	2152	3078
349	2158	3071
350	2164	3064
351	2169	3056
352	2174	3049
353	2179	3041
354	2184	3034
355	2190	3027
356	2195	3020
357	2201	3012
358	2207	3006
359	2212	2998
360	2217	2991
361	2223	2984
362	2228	2977
363	2233	2970
364	2238	2962
365	2244	2955
366	2249	2948
367	2255	2941
368	2260	2934
369	2266	2927
370	2271	2920
371	2276	2912
372	2281	2906
373	2287	2898
374	2292	2891
375	2298	2885
376	2303	2878
377	2309	2871
378	2314	2864
379	2319	2857
380	2325	2850
381	2330	2842
382	2335	2835
383	2340	2827
384	2345	2820
385	2350	2813
386	2355	2806
387	2361	2799
388	2366	2792
389	2371	2784
390	2377	2778
391	2382	2771
392	2387	2764
393	2393	2757
394	2398	2750
395	2403	2743
396	2408	2735
397	2413	2729
398	2418	2721
399	2424	2714
400	2429	2707
401	2434	2700
402	2439	2693
403	2444	2686
404	2449	2679
405	2454	2672
406	2460	2665
407	2465	2659
408	2470	2652
409	2476	2645
410	2481	2638
411	2487	2631
412	2492	2624
413	2497	2618
414	2503	2611
415	2508	2605
416	2514	2598
417	2519	2592
418	2525	2585
419	2531	2579
420	2537	2573
421	2543	2567
422	2548	2560
423	2554	2554
424	2560	2548
425	2566	2541
426	2571	2535
427	2577	2529
428	2583	2523
429	2588	2516
430	2594	2510
431	2600	2504
432	2606	2497
433	2611	2491
434	2617	2484
435	2622	2478
436	2627	2471
437	2633	2465
438	2639	2458
439	2644	2452
440	2650	2446
441	2656	2440
442	2662	2434
443	2668	2428
444	2674	2421
445	2680	2415
