id,Rain,Temp Min,Date,Month,Year,is_rainy,is_winter,is_summer
21550,0,16.39999962,1,1,2010,0,1,0
21551,0,14.96000004,2,1,2010,0,1,0
21552,0,14.02000046,3,1,2010,0,1,0
21553,0,14.97999954,4,1,2010,0,1,0
21554,0,14.78999996,5,1,2010,0,1,0
21555,0,15.52999973,6,1,2010,0,1,0
21556,0,13.52000046,7,1,2010,0,1,0
21557,0,14.78999996,8,1,2010,0,1,0
21558,0,16.79999924,9,1,2010,0,1,0
21559,0,18.93000031,10,1,2010,0,1,0
21560,0,18.60000038,11,1,2010,0,1,0
21561,0,19.65999985,12,1,2010,0,1,0
21562,0,20.48999977,13,1,2010,0,1,0
21563,6.00881815,19.61000061,14,1,2010,0,1,0
21564,0,18.46999931,15,1,2010,0,1,0
21565,0,17.10000038,16,1,2010,0,1,0
21566,0,16.48999977,17,1,2010,0,1,0
21567,0,16.18000031,18,1,2010,0,1,0
21568,0,15.10000038,19,1,2010,0,1,0
21569,0,13.06000042,20,1,2010,0,1,0
21570,0,12.46000004,21,1,2010,0,1,0
21571,0,11.43000031,22,1,2010,0,1,0
21572,0,12.98999977,23,1,2010,0,1,0
21573,0,13.34000015,24,1,2010,0,1,0
21574,0,14.72000027,25,1,2010,0,1,0
21575,0,14.56000042,26,1,2010,0,1,0
21576,0,14.93999958,27,1,2010,0,1,0
21577,0,16.20000076,28,1,2010,0,1,0
21578,0,17.37000084,29,1,2010,0,1,0
21579,0,15.89999962,30,1,2010,0,1,0
21580,0,14.71000004,31,1,2010,0,1,0
21581,0,14.59000015,1,2,2010,0,1,0
21582,0,16.51000023,2,2,2010,0,1,0
21583,0,17.85000038,3,2,2010,0,1,0
21584,0,17.76000023,4,2,2010,0,1,0
21585,0,17.20000076,5,2,2010,0,1,0
21586,0,16.73999977,6,2,2010,0,1,0
21587,0,17.77000046,7,2,2010,0,1,0
21588,0,16.37000084,8,2,2010,0,1,0
21589,0,16.59000015,9,2,2010,0,1,0
21590,0,17.15999985,10,2,2010,0,1,0
21591,0,18.55999947,11,2,2010,0,1,0
21592,0,18.71999931,12,2,2010,0,1,0
21593,0,18.85000038,13,2,2010,0,1,0
21594,0,19.71999931,14,2,2010,0,1,0
21595,0,20.09000015,15,2,2010,0,1,0
21596,0,19.62999916,16,2,2010,0,1,0
21597,0,19.62999916,17,2,2010,0,1,0
21598,0.562572241,20.19000053,18,2,2010,0,1,0
21599,0.204135075,21.32999992,19,2,2010,0,1,0
21600,0,20.60000038,20,2,2010,0,1,0
21601,0,21.06999969,21,2,2010,0,1,0
21602,0,21.44000053,22,2,2010,0,1,0
21603,1.940092683,20.36000061,23,2,2010,0,1,0
21604,0,20.79000092,24,2,2010,0,1,0
