id,Date,Full date,Year,Month
21550,01,2010-01-01,2010,01
21551,02,2010-01-02,2010,01
21552,03,2010-01-03,2010,01
21553,04,2010-01-04,2010,01
21554,05,2010-01-05,2010,01
21555,06,2010-01-06,2010,01
21556,07,2010-01-07,2010,01
21557,08,2010-01-08,2010,01
21558,09,2010-01-09,2010,01
21559,10,2010-01-10,2010,01
21560,11,2010-01-11,2010,01
21561,12,2010-01-12,2010,01
21562,13,2010-01-13,2010,01
21563,14,2010-01-14,2010,01
21564,15,2010-01-15,2010,01
21565,16,2010-01-16,2010,01
21566,17,2010-01-17,2010,01
21567,18,2010-01-18,2010,01
21568,19,2010-01-19,2010,01
21569,20,2010-01-20,2010,01
21570,21,2010-01-21,2010,01
21571,22,2010-01-22,2010,01
21572,23,2010-01-23,2010,01
21573,24,2010-01-24,2010,01
21574,25,2010-01-25,2010,01
21575,26,2010-01-26,2010,01
21576,27,2010-01-27,2010,01
21577,28,2010-01-28,2010,01
21578,29,2010-01-29,2010,01
21579,30,2010-01-30,2010,01
21580,31,2010-01-31,2010,01
21581,01,2010-02-01,2010,02
21582,02,2010-02-02,2010,02
21583,03,2010-02-03,2010,02
21584,04,2010-02-04,2010,02
21585,05,2010-02-05,2010,02
21586,06,2010-02-06,2010,02
21587,07,2010-02-07,2010,02
21588,08,2010-02-08,2010,02
21589,09,2010-02-09,2010,02
21590,10,2010-02-10,2010,02
21591,11,2010-02-11,2010,02
21592,12,2010-02-12,2010,02
21593,13,2010-02-13,2010,02
21594,14,2010-02-14,2010,02
21595,15,2010-02-15,2010,02
21596,16,2010-02-16,2010,02
21597,17,2010-02-17,2010,02
21598,18,2010-02-18,2010,02
21599,19,2010-02-19,2010,02
21600,20,2010-02-20,2010,02
21601,21,2010-02-21,2010,02
21602,22,2010-02-22,2010,02
21603,23,2010-02-23,2010,02
21604,24,2010-02-24,2010,02
21605,25,2010-02-25,2010,02
21606,26,2010-02-26,2010,02
21607,27,2010-02-27,2010,02
21608,28,2010-02-28,2010,02
21609,01,2010-03-01,2010,03
21610,02,2010-03-02,2010,03
21611,03,2010-03-03,2010,03
21612,04,2010-03-04,2010,03
21613,05,2010-03-05,2010,03
21614,06,2010-03-06,2010,03
21615,07,2010-03-07,2010,03
21616,08,2010-03-08,2010,03
21617,09,2010-03-09,2010,03
21618,10,2010-03-10,2010,03
21619,11,2010-03-11,2010,03
21620,12,2010-03-12,2010,03
21621,13,2010-03-13,2010,03
21622,14,2010-03-14,2010,03
21623,15,2010-03-15,2010,03
21624,16,2010-03-16,2010,03
21625,17,2010-03-17,2010,03
21626,18,2010-03-18,2010,03
21627,19,2010-03-19,2010,03
21628,20,2010-03-20,2010,03
21629,21,2010-03-21,2010,03
21630,22,2010-03-22,2010,03
21631,23,2010-03-23,2010,03
21632,24,2010-03-24,2010,03
21633,25,2010-03-25,2010,03
21634,26,2010-03-26,2010,03
21635,27,2010-03-27,2010,03
21636,28,2010-03-28,2010,03
21637,29,2010-03-29,2010,03
21638,30,2010-03-30,2010,03
21639,31,2010-03-31,2010,03
21640,01,2010-04-01,2010,04
21641,02,2010-04-02,2010,04
21642,03,2010-04-03,2010,04
21643,04,2010-04-04,2010,04
21644,05,2010-04-05,2010,04
21645,06,2010-04-06,2010,04
21646,07,2010-04-07,2010,04
21647,08,2010-04-08,2010,04
21648,09,2010-04-09,2010,04
21649,10,2010-04-10,2010,04
21650,11,2010-04-11,2010,04
21651,12,2010-04-12,2010,04
21652,13,2010-04-13,2010,04
21653,14,2010-04-14,2010,04
21654,15,2010-04-15,2010,04
21655,16,2010-04-16,2010,04
21656,17,2010-04-17,2010,04
21657,18,2010-04-18,2010,04
21658,19,2010-04-19,2010,04
21659,20,2010-04-20,2010,04
21660,21,2010-04-21,2010,04
21661,22,2010-04-22,2010,04
21662,23,2010-04-23,2010,04
21663,24,2010-04-24,2010,04
21664,25,2010-04-25,2010,04
21665,26,2010-04-26,2010,04
21666,27,2010-04-27,2010,04
21667,28,2010-04-28,2010,04
21668,29,2010-04-29,2010,04
21669,30,2010-04-30,2010,04
21670,01,2010-05-01,2010,05
21671,02,2010-05-02,2010,05
21672,03,2010-05-03,2010,05
21673,04,2010-05-04,2010,05
21674,05,2010-05-05,2010,05
21675,06,2010-05-06,2010,05
21676,07,2010-05-07,2010,05
21677,08,2010-05-08,2010,05
21678,09,2010-05-09,2010,05
21679,10,2010-05-10,2010,05
21680,11,2010-05-11,2010,05
21681,12,2010-05-12,2010,05
21682,13,2010-05-13,2010,05
21683,14,2010-05-14,2010,05
21684,15,2010-05-15,2010,05
21685,16,2010-05-16,2010,05
21686,17,2010-05-17,2010,05
21687,18,2010-05-18,2010,05
21688,19,2010-05-19,2010,05
21689,20,2010-05-20,2010,05
21690,21,2010-05-21,2010,05
21691,22,2010-05-22,2010,05
21692,23,2010-05-23,2010,05
21693,24,2010-05-24,2010,05
21694,25,2010-05-25,2010,05
21695,26,2010-05-26,2010,05
21696,27,2010-05-27,2010,05
21697,28,2010-05-28,2010,05
21698,29,2010-05-29,2010,05
21699,30,2010-05-30,2010,05
21700,31,2010-05-31,2010,05
21701,01,2010-06-01,2010,06
21702,02,2010-06-02,2010,06
21703,03,2010-06-03,2010,06
21704,04,2010-06-04,2010,06
21705,05,2010-06-05,2010,06
21706,06,2010-06-06,2010,06
21707,07,2010-06-07,2010,06
21708,08,2010-06-08,2010,06
21709,09,2010-06-09,2010,06
21710,10,2010-06-10,2010,06
21711,11,2010-06-11,2010,06
21712,12,2010-06-12,2010,06
21713,13,2010-06-13,2010,06
21714,14,2010-06-14,2010,06
21715,15,2010-06-15,2010,06
21716,16,2010-06-16,2010,06
21717,17,2010-06-17,2010,06
21718,18,2010-06-18,2010,06
21719,19,2010-06-19,2010,06
21720,20,2010-06-20,2010,06
